City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,naze,28.3667,129.4833,23.51,50,41,4.48,JP,32400
1,port-aux-francais,-49.35,70.2167,2.17,80,6,7.18,TF,18000
2,blackmans bay,-43.0167,147.3167,12.63,58,23,2.77,AU,39600
3,riberalta,-10.9833,-66.1,27.99,60,100,0.92,BO,-14400
4,waitangi,-43.9535,-176.5597,13.79,76,100,7.6,NZ,49500
5,miri,4.4148,114.0089,25.08,88,20,1.54,MY,28800
6,avarua,-21.2078,-159.775,23.03,60,75,5.66,CK,-36000
7,saipan,15.1355,145.701,30.39,79,40,4.12,MP,36000
8,selibaby,15.159,-12.1829,31.55,12,86,3.21,MR,0
9,la'ie,21.6477,-157.9253,30.58,72,7,1.34,US,-36000
10,lihue,21.9789,-159.3672,23.74,91,100,1.05,US,-36000
11,edinburgh of the seven seas,-37.0676,-12.3116,12.6,66,100,7.84,SH,0
12,lompoc,34.6391,-120.4579,18.08,73,20,9.83,US,-25200
13,navia,43.5354,-6.7194,14.38,73,81,5.89,ES,7200
14,kiruna,67.8557,20.2251,-4.49,86,100,2.06,SE,7200
15,west island,-12.1568,96.8225,26.99,78,100,9.26,CC,23400
16,wudil,11.8107,8.8451,19.38,25,45,1.36,NG,3600
17,grytviken,-54.2811,-36.5092,1.45,98,100,4.03,GS,-7200
18,codrington,-38.2667,141.9667,16.73,42,11,3.66,AU,39600
19,otjimbingwe,-22.35,16.1333,21.31,45,94,2.01,NA,7200
20,padang,-0.9492,100.3543,24.03,83,36,0.91,ID,25200
21,kruisfontein,-34.0033,24.7314,14.8,85,5,6.67,ZA,7200
22,arraial do cabo,-22.9661,-42.0278,22.92,88,75,5.14,BR,-10800
23,san antonio de pale,-1.4014,5.6325,25.75,87,99,5.98,GQ,3600
24,hawaiian paradise park,19.5933,-154.9731,27.73,81,100,3.09,US,-36000
25,iqaluit,63.7506,-68.5145,-3.15,73,100,3.6,CA,-14400
26,faya-largeau,17.9257,19.1043,25.04,21,9,5.82,TD,3600
27,puerto natales,-51.7236,-72.4875,1.94,92,100,2.07,CL,-10800
28,babayevo,59.3936,35.9371,-2.24,77,100,3.72,RU,10800
29,bel ombre,-4.6167,55.4167,26.91,83,40,3.09,SC,14400
30,geraldton,-28.7667,114.6,19.23,45,5,11.32,AU,28800
31,adamstown,-25.066,-130.1015,22.86,77,65,3.11,PN,-28800
32,coihueco,-36.6167,-71.8333,14.41,67,0,3.09,CL,-10800
33,thompson,55.7435,-97.8558,-1.91,46,100,3.6,CA,-18000
34,talnakh,69.4865,88.3972,-13.77,94,22,1.02,RU,25200
